1stFlrSF,GarageArea,GrLivArea,KitchenQual,YearBuilt,YearRemodAdd
1828,774,1828,Gd,2007,2007
894,308,894,TA,1962,1962
964,432,964,TA,1921,2006
1689,857,1689,Gd,2002,2002
1541,843,1541,Gd,2001,2002
1221,400,1221,Gd,2004,2005
1324,440,1324,TA,1965,1965
696,484,1416,Gd,1999,1999
526,297,988,TA,1973,1973
869,440,1218,TA,1941,1950
760,397,1656,Gd,2003,2004
1362,460,1362,Gd,2005,2006
1051,442,1839,TA,1966,1966
1375,451,1375,TA,1954,1954
1122,528,1122,Gd,1948,2005
1432,588,1432,Gd,1978,1978
728,400,1456,Gd,2007,2007
1217,497,1217,Gd,1990,1991
1040,625,1040,TA,1950,1950
612,528,1224,Gd,2009,2009
1022,468,1774,TA,1931,1950
961,384,1367,TA,1900,1950
803,297,1360,Gd,1938,1995
848,420,848,Gd,2004,2004
1482,749,2262,Gd,2003,2003
1220,396,1220,TA,1951,1951
1414,398,1414,Gd,2004,2004
1134,396,2058,TA,1917,1950
1088,0,1198,TA,1920,1998
1659,499,1659,Ex,2000,2000
1012,308,1012,TA,1920,1950
1687,672,3082,TA,1920,1970
1032,672,1812,Gd,1900,1996
1057,650,1929,Gd,2001,2001
954,576,954,TA,1976,1976
1838,765,1838,Ex,2006,2006
1640,924,1640,Gd,1954,2006
1148,672,1148,TA,1959,1959
950,280,950,TA,1971,1971
1065,471,1911,Gd,1993,1994
915,440,1635,TA,1923,1950
1316,440,1316,Gd,2007,2007
1442,615,1442,TA,1970,1970
1078,500,1078,TA,1971,2008
1120,544,1120,Fa,1961,1961
779,527,1419,Gd,2002,2002
707,240,1389,TA,1946,1992
1063,280,1063,TA,1954,1954
1792,874,1792,Ex,2003,2004
1216,402,1216,TA,1998,1998
998,576,1762,Gd,1920,1950
847,434,1959,Gd,2004,2005
1208,546,1208,TA,1977,1977
874,315,1524,TA,1958,1958
796,240,1154,Gd,1922,2007
1048,420,1048,TA,1950,1950
886,273,886,TA,1938,1996
943,600,943,TA,1979,1979
866,603,1768,Gd,2005,2005
1422,779,2599,Gd,1999,1999
912,275,912,TA,1958,1958
882,308,882,TA,1956,1956
1337,511,1337,Gd,1998,1999
2076,850,2076,Ex,2006,2006
1328,752,2531,Gd,1995,1995
981,240,1768,Gd,1937,1950
1625,538,1625,Gd,2006,2007
1444,389,2144,Gd,1958,2006
1521,880,2775,Gd,1893,2000
1140,477,1868,TA,1984,2003
1525,541,1525,Gd,2000,2000
1571,722,1571,Gd,2007,2007
796,0,796,TA,1910,1950
1378,432,2372,TA,1892,1965
802,402,1472,Gd,1991,1992
960,364,960,TA,1965,2001
734,372,1838,TA,2005,2005
1309,484,1309,Gd,1974,1999
2069,694,2643,Ex,2006,2006
676,200,1131,TA,1941,1950
960,400,1960,TA,1952,1952
1144,336,1144,TA,1963,1963
1056,576,1056,TA,1980,1980
693,0,693,Fa,1941,1950
1494,576,1494,Gd,1997,1997
1646,482,1646,Gd,2004,2005
864,352,864,TA,1972,1972
1566,750,1566,Gd,2008,2008
735,497,1395,TA,1972,1972
848,539,1208,TA,1925,1950
939,180,1513,TA,1920,2004
959,560,1367,TA,1931,1950
955,386,955,TA,1966,1966
1077,210,1077,TA,1922,1950
1056,572,1056,TA,1955,1955
756,615,1553,Gd,2005,2006
1614,865,1614,Gd,2005,2006
2042,1390,2042,Ex,2008,2009
1073,326,1073,TA,1921,1968
1072,240,1285,TA,1948,2001
2117,550,2117,TA,1970,1970
605,0,605,TA,1920,2002
1150,300,1150,TA,1959,1959
728,400,1456,Gd,2005,2005
999,588,999,Ex,1961,2007
750,564,1500,Gd,2005,2006
1336,375,1336,TA,1953,1953
864,398,1593,TA,2004,2004
1130,836,2184,Ex,2008,2008
1560,573,1560,Gd,2003,2003
888,312,1644,Gd,1942,1995
630,286,630,Gd,1970,2002
1113,504,1113,TA,1976,1976
1071,947,2172,Gd,2006,2006
796,384,1346,TA,1910,2000
1184,550,2610,Ex,2007,2007
1026,936,1958,Gd,2005,2005
1468,898,1468,Gd,2008,2009
1302,539,1734,Gd,1977,1977
768,240,1200,TA,1946,1995
1112,438,1550,Gd,2006,2007
954,440,2230,TA,1912,1950
1166,240,1639,TA,1936,1950
864,624,864,TA,1958,1958
1621,440,1621,Gd,1984,1998
483,264,987,Gd,1972,2007
1238,628,2519,Gd,1989,1990
765,440,1365,TA,1970,1970
1149,779,2290,Gd,2002,2002
1249,840,2596,Gd,2006,2006
907,352,907,TA,1957,1957
855,440,1456,TA,1976,1976
1190,540,1190,TA,1962,1962
858,684,858,TA,1971,1971
2223,516,2223,TA,1973,1973
1005,672,1005,Fa,1955,1955
1086,409,1895,Gd,1994,1996
1040,384,1040,TA,1965,1965
1264,461,1264,TA,1960,1960
874,578,1761,Gd,2007,2007
1034,888,1034,TA,1976,1976
1363,439,1363,TA,1954,2005
1689,480,1689,TA,1956,1956
2113,839,2113,Gd,1995,1995
1573,544,1573,Gd,2002,2002
2364,820,2364,Ex,2009,2010
1057,645,2034,Gd,1997,1998
1291,431,1291,Gd,1996,1997
858,0,858,TA,1958,2008
698,280,1258,TA,1939,1950
438,246,438,Fa,1920,1950
672,440,1400,TA,1978,1978
954,240,954,Fa,1938,1950
1445,645,1445,TA,1964,1964
1072,525,1072,TA,2005,2005
1664,0,1664,TA,1965,1965
1445,441,2134,Gd,1916,1994
1940,380,3194,TA,1934,1998
912,0,1824,TA,1971,1971
888,422,1756,TA,1996,1997
912,576,912,Gd,1965,2008
1509,600,1509,Gd,1988,1989
1160,216,1608,Gd,1925,1990
1316,397,1316,Gd,2005,2006
1015,450,1015,TA,1925,1950
756,240,1134,TA,1940,1950
1636,865,1636,Gd,2006,2006
660,400,1320,Gd,2003,2003
1160,538,2126,TA,1967,1967
1128,525,1128,TA,1963,1963
1306,756,1306,TA,1957,2000
798,0,1344,TA,1970,2008
1576,704,2554,TA,1890,1998
893,576,893,Gd,1949,2003
894,668,1933,Gd,2007,2007
672,264,1218,TA,1973,1973
1161,534,1969,TA,1977,1977
1220,556,2090,Gd,1995,1996
1484,487,1484,TA,1971,1971
1656,506,1656,TA,1973,1973
818,210,1224,TA,1926,2004
1022,390,2054,Gd,2000,2000
854,576,854,TA,1929,2001
546,286,1092,TA,1973,1973
1268,252,1268,Gd,1977,1989
827,550,1661,Gd,1996,1996
1668,502,1668,Gd,2003,2003
1493,508,1493,Gd,1997,1998
932,306,932,Gd,1950,1950
1277,526,1277,TA,1970,1970
1530,630,1530,Gd,2004,2004
1344,484,1344,TA,1958,1983
860,528,860,TA,1982,1982
1314,626,1314,Gd,2007,2008
1391,868,1962,Gd,2006,2006
788,388,1490,Gd,2004,2005
848,420,848,Gd,2004,2004
672,240,672,TA,1940,1997
1188,252,2340,Gd,1941,2006
808,180,1656,TA,1916,1987
725,484,1479,Gd,1972,2004
1226,740,1226,Gd,2009,2009
976,444,2087,Gd,1966,2007
1158,576,1158,Gd,2004,2004
1154,480,1154,TA,1966,1966
880,527,1724,Gd,1998,1999
773,431,1658,TA,1995,1996
1126,520,1126,Gd,1949,2003
872,300,1393,TA,1955,1955
1968,1014,3447,Gd,1935,1997
483,264,987,TA,1973,1973
808,0,1355,TA,1940,1999
2069,505,2069,Gd,1960,2007
757,440,1501,TA,1999,1999
1976,908,1976,Gd,2006,2007
1563,758,1563,Gd,2007,2007
572,288,1111,TA,1926,1950
851,270,1502,TA,1931,2000
1733,452,1733,TA,1955,1955
1848,706,2728,Ex,2005,2006
630,264,1302,TA,1972,1972
1332,586,1524,Gd,1979,1979
1120,680,1588,TA,1959,1959
1125,430,1125,TA,2006,2007
520,480,1200,Gd,2005,2005
798,520,1640,Gd,2004,2004
1223,525,2127,Gd,1994,1994
972,240,972,TA,1948,2002
1142,466,2020,Gd,1995,1995
1144,596,1144,TA,1956,1956
1352,288,1352,Gd,1958,1958
926,484,1316,TA,1929,2001
1086,592,1924,Gd,1998,1998
1164,240,1164,TA,1950,1950
952,840,952,TA,1951,1951
938,0,2358,TA,1872,1987
1680,540,1680,Gd,1988,2007
1221,672,1912,TA,1905,2000
1004,480,1004,TA,1970,1970
774,305,1230,TA,1946,1950
1167,495,1167,TA,1920,1950
1301,440,1301,Fa,1924,1950
1453,445,1453,Gd,1986,1986
1601,670,1601,Gd,2001,2002
1588,825,1588,Gd,2006,2006
1095,264,1095,TA,1958,1958
1050,368,1050,TA,1961,1961
960,432,960,TA,1965,1965
1002,280,1456,TA,1948,1950
1489,462,1489,Gd,1968,1968
1726,786,1726,Ex,2007,2007
1362,484,2082,Gd,2003,2003
1339,484,1339,TA,1990,1990
1310,1069,2450,Gd,1998,1998
879,660,1863,Gd,2006,2006
768,396,768,TA,1972,2007
334,0,334,Fa,1946,1950
1136,384,1136,TA,1965,1965
1337,405,1337,TA,1998,1998
912,288,912,TA,1964,1964
876,264,1812,TA,1962,1962
1052,240,2192,Gd,1939,1997
658,0,1184,TA,1910,1996
964,308,1889,TA,1910,1950
1327,624,1327,Gd,1959,2002
1422,576,1422,Gd,1981,1981
1632,576,1632,TA,1967,1967
1630,451,1630,Gd,2000,2001
1013,0,1526,Fa,1915,1982
1040,420,1040,TA,1949,1950
841,216,1647,Fa,1915,1950
1328,576,1981,Gd,1928,1950
1644,418,1644,TA,1953,1953
1482,868,2574,Ex,2007,2007
1060,520,1824,TA,1919,1950
1350,520,1350,TA,1964,1964
958,440,958,TA,1976,1976
1053,370,1848,Gd,1923,2000
1620,490,1620,TA,1976,1993
1167,400,1167,Gd,1992,1992
798,220,1487,TA,1945,1950
892,288,892,TA,1967,1967
804,240,804,Gd,1940,1992
1140,0,1140,TA,2006,2006
983,483,1796,TA,1963,1963
1118,551,2030,Gd,1976,1976
1026,812,2007,Ex,2008,2008
691,216,691,Ex,1920,1950
786,676,1590,Gd,2008,2008
1216,325,1855,TA,1954,1972
1028,442,1804,Gd,1999,1999
884,543,1768,Gd,2003,2003
1831,807,3627,Gd,1995,1996
1298,403,1298,Gd,1985,1985
1801,484,1801,TA,1959,1997
630,0,630,Ex,1970,1970
1103,440,1103,Gd,1925,1980
859,384,1178,TA,1900,1950
1196,440,1196,TA,1916,1990
1372,529,1372,Gd,2007,2008
1431,296,1431,TA,1962,1962
1422,626,1422,Gd,2004,2004
1079,501,1953,Gd,1992,1992
1121,440,1121,TA,2003,2004
1143,852,2473,Gd,2004,2005
1057,576,1057,TA,1962,1962
1110,602,1110,Gd,1978,1978
1164,671,2270,Gd,1999,2007
2018,746,2018,Ex,2008,2009
672,440,1386,TA,1978,1978
1082,1043,1953,Gd,2005,2006
1337,462,1337,Gd,1993,1993
997,648,2285,Gd,2000,2000
1718,826,1718,Gd,2007,2008
1086,484,1086,TA,1966,1966
1555,660,1555,Gd,2007,2007
1902,567,1902,Ex,1959,2002
1298,693,2514,TA,1990,1991
1224,528,1224,TA,1979,1979
1054,460,1054,TA,1969,1969
1276,676,2612,Gd,1998,1999
902,288,902,TA,1967,1967
1153,484,2353,Ex,1980,1980
689,299,1392,TA,1977,1977
1155,576,1155,Gd,1961,1995
1136,240,1904,TA,1950,1982
950,208,1158,TA,1929,1950
751,502,1362,TA,1920,1999
1005,429,2291,Gd,1999,1999
649,250,1317,TA,1920,1950
1734,928,1734,Ex,2007,2007
1194,312,1194,TA,1959,1959
876,720,1416,TA,1915,1950
1383,354,1383,TA,1954,1954
1001,871,2002,TA,1949,1950
1496,474,1496,Gd,2007,2007
984,660,1604,TA,1941,1960
764,504,764,TA,1925,2004
977,476,1732,Gd,1985,1985
1494,840,1494,Gd,2006,2007
986,180,986,TA,1926,1950
1145,397,1145,Gd,2005,2006
742,0,1484,TA,1914,2001
1344,525,1344,Gd,1958,1958
958,686,1539,Gd,1904,2002
1134,656,2504,Ex,2005,2007
747,528,747,TA,1926,1953
1108,583,2097,Gd,1998,1998
3138,884,4676,Ex,2007,2008
786,624,1176,TA,1937,2000
720,0,720,TA,1920,1950
1580,830,1580,Gd,2007,2008
1440,0,1440,TA,1977,1977
738,540,1476,Gd,2005,2005
1500,570,1500,Gd,2004,2004
884,216,1348,TA,1925,1997
1200,884,1200,Gd,1965,1998
1394,514,1394,TA,1963,1963
800,484,1632,Gd,1966,2000
912,336,912,TA,1967,1967
1370,864,2624,TA,1918,1950
1696,349,1696,TA,1962,1962
682,440,1230,TA,1910,1981
1549,440,2727,Gd,1932,1994
728,429,1456,TA,2006,2006
864,660,864,Gd,1970,1970
970,380,1709,Gd,2004,2006
810,528,1665,Gd,2001,2001
1372,656,2646,Gd,1993,1993
798,595,1640,Gd,2003,2003
1014,420,1699,TA,1900,1970
1663,529,1663,Gd,1954,1994
1728,504,1728,TA,1963,1963
1055,462,1845,Gd,1992,1992
1020,440,1851,Gd,1964,1993
1489,776,1489,Gd,2006,2006
864,300,864,TA,1959,1959
1256,276,1256,TA,1965,1965
816,816,816,TA,1982,2003
902,492,1820,Gd,1965,1988
912,833,2127,Gd,1991,1991
1065,461,1065,TA,1960,1960
1200,312,1200,TA,1923,1950
1208,632,1208,Gd,2006,2006
1133,642,2482,Gd,2005,2006
1720,527,1720,Gd,1996,1996
840,0,840,TA,1930,1950
1294,496,1294,Gd,1991,1991
1090,450,1090,TA,2005,2006
1165,420,2263,Gd,1998,1998
969,440,969,TA,1975,1975
894,1248,894,TA,1935,1950
1028,360,1028,TA,1927,1950
979,492,1958,TA,1946,1950
1795,895,1795,Gd,2006,2007
1940,606,1940,Ex,2009,2010
1178,439,1178,Gd,1973,2000
810,400,1482,Fa,1925,1950
1428,554,1428,Ex,2008,2008
864,338,864,TA,1972,1972
616,200,1111,TA,1941,1950
680,420,1470,TA,1993,1993
1116,440,1116,TA,1962,1962
864,288,864,Gd,1959,1959
1297,498,1297,TA,1954,1990
1113,264,1113,Gd,1950,2007
1501,577,1501,Gd,1999,1999
764,614,1547,Gd,2009,2009
991,678,1947,Gd,2004,2005
1717,908,1717,Gd,2006,2006
1052,440,1052,TA,1971,1971
1127,455,2013,TA,1996,1997
1266,388,1266,Gd,2007,2007
1992,716,2868,Ex,2005,2006
980,554,2256,Gd,2000,2000
1414,494,1414,Gd,2004,2004
936,471,1721,Gd,1994,1994
811,434,1552,TA,1975,1975
698,528,1128,TA,1920,1950
1118,358,1118,TA,1977,1977
1728,574,1728,TA,1976,1976
1686,711,2448,Gd,1994,2005
1473,452,1473,Ex,1968,2003
1187,400,1717,Gd,1990,1991
1166,400,1166,Gd,2005,2005
1370,484,1370,Gd,2006,2006
1724,480,1724,TA,1967,1976
970,380,1709,Gd,2004,2004
483,264,987,TA,1971,1971
901,216,1802,TA,1920,1950
1170,360,2345,TA,1932,1950
1068,264,1068,TA,1963,2003
1617,533,1617,Gd,1993,1994
1244,336,1244,TA,1957,1957
1180,252,1180,Fa,1922,1950
520,480,1223,Gd,2005,2005
1686,612,1686,TA,1980,1980
1646,800,1646,Gd,2007,2008
1144,264,1144,TA,1961,1983
939,639,1797,Gd,2006,2006
1224,462,1224,TA,1962,1962
992,839,1865,Gd,2000,2000
1056,308,1056,TA,1958,1992
1966,820,3140,Ex,2008,2009
1212,492,1212,TA,1977,1995
1694,636,1694,Gd,2004,2005
802,413,1511,TA,1997,1997
1057,246,1057,Gd,1953,2007
1246,560,2290,TA,1885,1950
1377,786,2183,Gd,1988,1988
1699,594,3222,Gd,1990,1990
909,512,1716,Gd,1996,1996
1342,457,1342,TA,1967,1967
1504,437,1504,Gd,2005,2006
1053,648,1992,Gd,2003,2004
624,462,1252,Gd,1999,2000
999,264,999,Gd,1962,2001
741,528,1363,TA,1910,1950
1165,490,1165,TA,1966,1966
1668,702,1668,Gd,2002,2002
1158,853,2376,Gd,2005,2006
889,352,1440,TA,1900,1950
794,388,1470,TA,1997,1997
1541,532,1541,Gd,2005,2005
1440,0,1440,Fa,1955,1955
1146,438,1146,Gd,2003,2003
1494,481,1494,Ex,1995,1996
1462,738,2224,Ex,2004,2005
820,186,1343,TA,1921,1950
1210,683,2452,Gd,1998,1999
1127,540,1977,TA,1964,1978
1064,504,1767,Gd,1987,1987
1324,550,1324,Gd,2006,2006
912,330,1458,TA,1948,1950
1314,440,1314,Gd,2006,2006
1575,529,1575,Gd,1992,1992
1620,912,1620,Ex,2007,2008
1104,304,1788,TA,1957,1989
913,240,913,TA,1966,1966
2073,500,2073,TA,1978,1988
764,492,1441,Gd,1999,2000
815,225,1690,TA,1916,1950
1437,576,1437,TA,1956,1987
2156,508,2156,TA,1968,2003
864,0,864,TA,1925,1950
536,336,1112,TA,1976,1976
1122,746,2243,Gd,1990,1991
810,210,1328,TA,1925,1950
968,216,968,TA,1927,2007
698,384,1396,TA,1915,2003
1856,834,1856,Ex,2010,2010
1610,789,2161,Ex,2007,2007
1602,529,1602,Gd,1977,2000
630,280,1302,TA,1971,1971
807,393,1509,Gd,2002,2003
912,352,912,TA,1962,1962
1004,420,1664,TA,1947,1950
1390,576,1694,TA,1925,1950
747,220,747,TA,1945,1950
1040,420,1040,TA,1950,1950
831,493,1660,Gd,2002,2002
1026,308,1691,Gd,1924,1950
864,720,864,Gd,1950,2002
752,264,752,TA,1984,1984
963,564,1792,Gd,2001,2001
764,474,1626,Gd,2003,2003
1484,472,1484,Ex,2006,2006
1675,870,3493,Gd,1880,2002
1652,840,1652,Ex,2006,2007
1276,350,1276,TA,1958,1958
1112,271,1668,TA,1950,2005
720,0,1192,TA,1949,1950
884,504,884,Gd,1983,1983
1180,454,2062,TA,1988,1989
827,392,827,TA,1955,2007
1136,532,2019,Gd,1910,1993
616,336,1304,TA,1976,1976
684,216,1368,TA,1910,1993
840,379,1605,TA,1915,1950
2020,900,2020,Ex,2009,2009
625,528,1250,Gd,2006,2007
1624,757,1624,Gd,1994,1995
845,360,845,TA,1982,2006
1389,418,1389,TA,1974,1975
968,480,968,TA,1923,2006
546,286,1092,TA,1970,1970
848,420,848,Gd,2003,2004
1269,308,1269,TA,1960,1960
1092,288,1092,TA,1962,1962
1468,539,2263,Gd,1977,1994
952,283,952,TA,1956,1956
736,0,1452,TA,1920,2008
1039,504,1039,TA,1965,1965
1204,412,1204,TA,1998,1998
1117,672,1117,TA,1976,1976
2196,701,2196,Gd,1990,1991
985,328,985,TA,1977,1977
1629,880,1629,Gd,2003,2004
877,216,1477,TA,1928,1950
980,484,980,TA,1977,1977
1166,590,2295,Gd,1992,2000
900,180,1502,Gd,1923,1996
1575,432,2201,Gd,1966,1966
1050,836,2078,Ex,2007,2008
800,0,800,Fa,1936,1950
1578,840,1578,Ex,2008,2009
1932,774,1932,Ex,2008,2008
1507,404,1507,TA,1960,1960
900,280,900,TA,1967,1967
1718,786,1718,Ex,2006,2007
1089,240,1750,Ex,1880,1991
1383,834,2398,Gd,1996,1997
774,680,1968,Ex,2009,2010
1536,532,1536,Gd,2002,2003
864,200,864,TA,1914,1950
3228,546,3228,Gd,1992,1993
1518,670,2149,Gd,2003,2003
1320,864,2640,Gd,1880,2003
1682,530,1682,TA,1970,1970
1038,878,2098,Ex,2005,2005
864,360,864,TA,1965,1965
1168,530,1968,TA,1969,1969
1097,480,1097,TA,1984,1985
684,528,1196,Gd,1920,2000
1252,451,1920,Gd,1958,1958
1728,576,1728,TA,1965,1965
1128,577,2031,Gd,2002,2002
1196,297,1196,TA,1956,1956
803,360,803,TA,1941,1950
780,462,1620,TA,1969,1969
2097,1134,2097,Ex,2005,2006
1869,617,1869,Ex,2007,2007
956,431,1886,Gd,1998,1999
480,308,480,TA,1949,1950
1296,516,1296,TA,1967,1967
816,288,816,TA,1938,1958
1601,478,1601,TA,1978,1978
962,451,1792,TA,2000,2000
1352,796,2520,Gd,1993,1993
1144,796,1144,TA,1959,1959
990,621,2601,TA,1921,1998
